id,host_id,district,neighbourhood,latitude,longitude,room_type,price,min_stay,reviews,last_review,reviews_per_month,host_listings
21777891,63115079,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40791,2.1654,Private room,10,1,0,NA,NA,1
21779425,5614931,Eixample,la Dreta de l'Eixample,41.39033,2.17187,Hotel room,145,1,9,2019-10-16,0.47,40
21781017,12355332,Ciutat Vella,el Raval,41.38229,2.16753,Private room,32,1,97,2019-10-24,4.56,3
21781681,158711791,Ciutat Vella,la Barceloneta,41.3816,2.18842,Private room,29,4,62,2019-11-05,2.99,1
21785071,25373102,Horta-Guinardó,el Guinardó,41.41602,2.18025,Private room,15,1,0,NA,NA,1
21786196,15920367,Eixample,la Nova Esquerra de l'Eixample,41.37912,2.14714,Private room,65,2,49,2019-10-29,2.17,2
21790976,27514370,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40889,2.13981,Entire home/apt,115,32,2,2019-08-31,0.11,8
21791772,56611778,Gràcia,la Salut,41.4085,2.15212,Entire home/apt,57,3,42,2019-11-04,2.24,2
21795213,5614931,Ciutat Vella,el Raval,41.38484,2.16749,Hotel room,90,1,1,2018-02-18,0.05,40
21795596,5614931,Ciutat Vella,el Raval,41.38525,2.16689,Hotel room,90,1,3,2019-08-03,0.14,40
21796080,5614931,Ciutat Vella,el Raval,41.38527,2.167,Hotel room,90,1,2,2019-08-27,0.09,40
21796485,5614931,Ciutat Vella,el Raval,41.38485,2.16698,Hotel room,90,1,1,2018-05-06,0.05,40
21796799,57935558,Eixample,la Nova Esquerra de l'Eixample,41.37922,2.14819,Entire home/apt,50,1,22,2019-10-25,0.94,11
21797227,41959219,Eixample,Sant Antoni,41.37983,2.15897,Private room,29,2,0,NA,NA,1
21797758,23663527,Sants-Montjuïc,Sants - Badal,41.37454,2.12907,Private room,32,1,15,2018-09-29,0.79,2
21798382,4066570,Eixample,la Dreta de l'Eixample,41.39498,2.16768,Entire home/apt,220,2,0,NA,NA,1
21809070,23241640,Eixample,la Nova Esquerra de l'Eixample,41.3883,2.14932,Private room,20,1,9,2017-12-20,0.38,1
21812003,5608910,Eixample,Sant Antoni,41.37717,2.16205,Entire home/apt,375,2,2,2019-10-13,0.15,10
21813230,54320669,Sants-Montjuïc,Sants - Badal,41.37569,2.12793,Entire home/apt,119,2,55,2019-10-21,2.43,13
21813901,6193643,Sant Martí,el Parc i la Llacuna del Poblenou,41.39374,2.18879,Private room,11,20,0,NA,NA,1
